Zomato URL,Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Ratings,No of Votes
https://www.zomato.com/chennai/3bs-buddies-bar-barbecue-t-nagar,"3B's - Buddies, Bar & Barbecue"," 1, Hanumantha Road, Near Soma Sunder Ground, T. Nagar, Chennai",T. Nagar,North Indian,"Beer,Cocktails,Fish,Prawn,Paan Ice Cream,Chicken Tikka,Wings",1200,4.5,1595
https://www.zomato.com/chennai/orange-wok-nungambakkam,Orange Wok," 7, First Floor, Khader Nawaz Khan Road, Nungambakkam, Chennai",Nungambakkam,"Malaysian, Chinese, Asian, Thai, Beverages, Momos","Noodle,Dragon Chicken,Laksa,Bubble Tea,Khau Suey,Chicken Satay,Lamb",1000,4.2,623
https://www.zomato.com/chennai/guntur-gongura-sholinganallur,Guntur Gongura," 293/A, IT Express Way, Beside Swensens Building, Sholinganallur Signal, Sholinganallur, Chennai",Sholinganallur,"Biryani, Andhra, North Indian, Chinese","Chicken Biryani,Gongura Biryani,Vegetable Biryani,Hyderabadi Biryani,Curd Rice,Gongura Pickle,Fish Curry",500,3.7,2193
https://www.zomato.com/chennai/nasi-and-mee-nungambakkam,Nasi And Mee," 18/24, Yafa Towers, Khader Nawaz Khan Road, Thousand Lights West, Nungambakkam",Nungambakkam,"Singaporean, Malaysian, Chinese, Asian, Thai, Momos","Dumplings,Nasi Goreng,Chicken Satay,Pad Thai,Tom Yum Soup,Stir Fry Chicken,Laksa",1200,4.6,1444
https://www.zomato.com/chennai/kipling-cafe-akkarai,Kipling Cafe," 16, L Jey Avenue, East Coast Road (ECR), Akkarai, Chennai","Kipling, East Coast Road (ECR)","Continental, Thai, Italian","Pizza,Beer,Cocktails,Pasta,Mudcake,Mocktails,Fish",2400,4.1,2052
https://www.zomato.com/chennai/jokers-kitchen-alwarpet,Joker's Kitchen," 94/1, Door 211/1, TTK Road, Near Ethiraj Kalayana Mandapam, Alwarpet, Chennai",Alwarpet,"Continental, Italian","Pizza,Fries,Calzone,Tawa Pulav,Garlic Bread,Pesto Pasta,Brownie",800,4.4,880
https://www.zomato.com/chennai/the-velveteen-rabbit-ra-puram,The Velveteen Rabbit," 57, 2nd Main Road, RA Puram, Chennai",RA Puram,"Finger Food, Pizza","Cocktails,Pizza,Beer,Mocktails,Nachos,Chaat,Veg Platter",2000,4.4,468
https://www.zomato.com/chennai/copper-kitchen-kotturpuram,Copper Kitchen," 19B,Gandhi Mandapam Road, Opposite Anna Centenary Library, Kotturpuram, Chennai",Kotturpuram,"Seafood, North Indian, Chinese, Chettinad","Brownie,Faluda,Biryani,Shawarma,Sea Food,Barbeque Chicken,Fried Rice",800,4.3,1321
https://www.zomato.com/chennai/kobe-sizzlers-velachery,Kobe Sizzlers," 1st Floor, Phoenix Market City, Velachery Main Road, Velachery, Chennai","Phoenix Market City, Velachery","Continental, Italian, Steak, Chinese","Lamb Chops,Manchow Soup,Mojito,Mocktails,Tenderloin Steak,Spaghetti,Chilli Paneer",1100,4.5,1578
https://www.zomato.com/chennai/shree-mithai-anna-nagar-east,Shree Mithai," 189, AI Block, Shanthi Colony, Anna Nagar East, Chennai",Anna Nagar East,"Mithai, Street Food, Fast Food","Chaat,Thali,Panipuri,Badam Milk,Rasmalai,Chole Bhature,Butter Naan",300,4.4,1145
https://www.zomato.com/chennai/soy-soi-kotturpuram,Soy Soi," 2/10, Gandhi Mandapam Road, Kotturpuram, Chennai",Kotturpuram,"Burmese, Thai, Vietnamese, Indonesian, Singaporean, Japanese, Malaysian","Dumplings,Noodle,Panna Cotta,Nasi Goreng,Momos,Pad Thai,Jasmine Rice",1400,4.5,779
https://www.zomato.com/chennai/salt-vadapalani,Salt," 2nd Floor, Forum Vijaya Mall, Arcot Road, Vadapalani, Chennai","Forum Vijaya Mall, Vadapalani","North Indian, Seafood, Biryani","Biryani,Elaneer Payasam,Naan,Fish,Mocktails,Paneer Tikka,Tomato Soup",1200,4.3,1373
https://www.zomato.com/chennai/hoppipola-nungambakkam,Hoppipola," 11, The Spring Hotel, Kodambakkam High Road, Nungambakkam, Chennai","The Spring Hotel, Nungambakkam","Continental, Mediterranean, American","Cocktails,Pasta,Pizza,Beer,Fried Cheese,Mocktails,Chicken Wings",1400,4.1,1062
https://www.zomato.com/chennai/east-coast-at-madras-square-neelangarai,East Coast at Madras Square," 2/520, Sundeep Road, Neelangarai, Chennai",Neelangarai,"European, Continental, Italian, North Indian","Pizza,Pasta,Falafel,Fries,Chicken Soup,Panko Chicken,Bruschettas",1000,4.6,1165
https://www.zomato.com/chennai/hub-at-ecr-east-coast-road-ecr,Hub at ECR," 2/222, East Coast Road (ECR), Chennai",East Coast Road (ECR),"Continental, North Indian, Italian, Pizza, Kebab","Pizza,Burgers,Pasta,Fish,Tiramisu,Beer,Roti",2000,4.4,1174
https://www.zomato.com/chennai/momo-sa-khang-by-kailash-kitchen-choolaimedu,Momo Sa-Khang by Kailash Kitchen," 2/247, Perinbavilas Complex, Opposite Chitra Apartments, Choolaimedu, Chennai",Choolaimedu,"Momos, Chinese","Momos,Noodle,Chowmein,Chop Suey,Dumplings,Thukpa,Beef Momo",350,4.8,1569
https://www.zomato.com/chennai/vb-signature-progressive-veg-restaurant-nungambakkam,VB Signature - Progressive Veg Restaurant," 52, Nungambakkam High Road, Nungambakkam, Chennai",Nungambakkam,"North Indian, South Indian, Chinese, Asian","Momos,Idiyappam,Pumpkin Soup,Coconut Soup,Filtered Coffee,Paneer Tikka,Paratha",1000,4.6,1315
https://www.zomato.com/chennai/spiceklub-nungambakkam,SpiceKlub," H M Centre 29, Nungambakkam High Road, Nungambakkam, Chennai",Nungambakkam,"North Indian, Desserts, Beverages","Vada Pav,Kulfi,Pav Bhaji,Panipuri,Masala Papad,Bharwan Aloo,Dal Makhani",2000,4.7,845
https://www.zomato.com/chennai/fusilli-reasons-kilpauk,Fusilli Reasons," 2/64, Ormes Main Road, Kilpauk, Chennai",Kilpauk,Italian,"Nachos,Iced Tea,Garlic Bread,Brownie,Spinach Pasta,White Sauce Pasta,Chocolate Mousse",400,4.6,2943
https://www.zomato.com/chennai/mainland-china-velachery,Mainland China," 1st Floor, 142, Phoenix Market City, Velachery, Chennai","Phoenix Market City, Velachery","Chinese, Asian, Sushi, Japanese, Thai","Noodle,Dumplings,Momos,Hakka Noodles,Jumbo Prawns,Mocktails,Kimchi",1800,4.7,1296
https://www.zomato.com/chennai/writers-cafe-gopalapuram,Writer's Cafe," 98, Peter's Road, Behind Philip's Service Centre, Gopalapuram, Chennai",Gopalapuram,"Cafe, American, Italian, Beverages","Coffee,Pizza,Pasta,Hot Chocolate,Sandwich,Waffles,Onion Rings",500,4.4,1743
https://www.zomato.com/chennai/the-fat-boy-1-alwarpet,The Fat Boy," 18/24,1st Cross Street, TTK Road, Alwarpet, Chennai",Alwarpet,"Pizza, Fast Food","Pizza,Fried Cheese,Fries,Garlic Bread,Sandwich,Nachos,Masala Lemonade",800,4.2,945
https://www.zomato.com/chennai/basil-with-a-twist-t-nagar,Basil With A Twist," 58-A, Habibullah Road, T. Nagar, Chennai",T. Nagar,"Continental, Italian, European, Mediterranean, Steak, Pizza, Salad","Pizza,Steak,Roasted Pumpkin Soup,Risotto,Cheesecake,Mushroom Pasta,Mashed Potato",1500,4.5,2003
https://www.zomato.com/chennai/sigree-global-grill-nungambakkam,Sigree Global Grill," The Spring Hotel, Kodambakkam High Road, Nungambakkam, Chennai","The Spring Hotel, Nungambakkam","North Indian, Mexican, Mediterranean","Pasta,Pizza,Fish,Jalebi,Chaat,Salad,Naan",1200,4.5,741
https://www.zomato.com/chennai/bhangra-kanathur,Bhangra," Mayajaal Multiplex, Kanathur, Chennai","Mayajaal Multiplex, Kanathur",North Indian,"Butter Chicken,Dal Makhani,Sweet Lassi,Kheer,Sugarcane Juice,Chicken Masala,Tandoori Chicken",800,4.9,1686
https://www.zomato.com/chennai/ciclo-cafe-kotturpuram,Ciclo Cafe," 47, Gandhi Mandapam Road, Kotturpuram, Chennai",Kotturpuram,"Cafe, Italian, American","Pasta,Pizza,Burgers,Salad,Sandwich,Cheesecake,Waffles",1100,4.3,1821
https://www.zomato.com/chennai/chamiers-cafe-ra-puram,Chamiers Cafe," 106, Chamiers Road, Opposite Crowne Plaza, RA Puram, Chennai",RA Puram,"Cafe, Italian, Continental, Salad, Juices","Coffee,Pasta,Hot Chocolate,Sandwich,Cappuccino,Salad,Tea",1000,4.3,1053
